"Verb"|"Root"|"VerbOld"|"RootOld"|"Form"|"Frequency"|"Translation"|"Nederlands"|"Turks"|"NL"|"TR"
"يَطْمِثْ"|"ط م ث"|"يَطْمِثْ"|"ط م ث"|"I"|"2"|"to touch"|"aanraken"|"dokunmak"|"NL"|"TR"
"طُمِسَتْ"|"ط م س"|"طُمِسَتْ"|"ط م س"|"I"|"5"|"to blind, to destroy, to obliterate"|"verblinden, vernietigen, uitwissen"|"körleştirmek, yıkmak, yoketmek"|"NL"|"TR"
"يَطْمَعُ"|"ط م ع"|"يَطْمَعُ"|"ط م ع"|"I"|"8"|"to hope, to desire"|"hopen, verlangen"|"umut etmek, arzulamak"|"NL"|"TR"
"ٱطْمَأَنَّ"|"ط م ن"|"ٱطْمَأَنَّ"|"ط م ن"|"XII"|"9"|"to be satisfied, to be secure, to be content"|"tevreden zijn, veilig zijn, tevreden zijn"|"memnun olmak, güvenli olmak, hoşnut olmak"|"NL"|"TR"
"يَطْهُرْ"|"ط ه ر"|"يَطْهُرْ"|"ط ه ر"|"I"|"1"|"to purify"|"zuiveren"|"saflaştırmak"|"NL"|"TR"
"طَهَّرَ"|"ط ه ر"|"طَهَّرَ"|"ط ه ر"|"II"|"9"|"to purify"|"zuiveren"|"saflaştırmak"|"NL"|"TR"
"تَطَهَّرْ"|"ط ه ر"|"تَطَهَّرْ"|"ط ه ر"|"V"|"5"|"to cleanse, to purify"|"reinigen, zuiveren"|"temizlemek, arındırmak"|"NL"|"TR"
"يُطَاعُ"|"ط و ع"|"يُطَاعُ"|"ط و ع"|"I"|"2"|"to obey"|"gehoorzamen"|"itaat etmek"|"NL"|"TR"
"طَوَّعَتْ"|"ط و ع"|"طَوَّعَتْ"|"ط و ع"|"II"|"1"|"to prompt"|"gevraagd om bevestiging"|"harekete geçirmek"|"NL"|"TR"
"أَطَاعَ"|"ط و ع"|"أَطَاعَ"|"ط و ع"|"IV"|"72"|"to obey"|"gehoorzamen"|"itaat etmek"|"NL"|"TR"
"تَطَوَّعَ"|"ط و ع"|"تَطَوَّعَ"|"ط و ع"|"V"|"2"|"to volunteer"|"vrijwillig op zich nemen"|"Gönüllü olmak"|"NL"|"TR"
"ٱسْتَطَاعَ"|"ط و ع"|"ٱسْتَطَاعَ"|"ط و ع"|"X"|"42"|"to be able to, to be capable"|"kunnen, in staat zijn"|"yapabilmek, yeteneğine sahip olmak"|"NL"|"TR"
"طَافَ"|"ط و ف"|"طَافَ"|"ط و ف"|"I"|"8"|"to circulate, to go around"|"circuleren, om rond te gaan"|"dolaşımda olmak, dolaşmak"|"NL"|"TR"
"يَطَّوَّفَ"|"ط و ف"|"يَطَّوَّفَ"|"ط و ف"|"V"|"2"|"to walk, to circumambulate"|"lopen, rondgaan"|"yürümek, tavaf etmek"|"NL"|"TR"
"يُطَوَّقُ"|"ط و ق"|"يُطَوَّقُ"|"ط و ق"|"II"|"1"|"to encircle the neck"|"de hals omcirkelen"|"boyun kuşatmak"|"NL"|"TR"
"يُطِيقُ"|"ط و ق"|"يُطِيقُ"|"ط و ق"|"IV"|"1"|"to afford"|"veroorloven"|"gücü yeten"|"NL"|"TR"
"طَالَ"|"ط و ل"|"طَالَ"|"ط و ل"|"I"|"3"|"to prolong, to grow long"|"verlengen, lang groeien"|"uzatmak, uzun büyümek "|"NL"|"TR"
"تَطَاوَلَ"|"ط و ل"|"تَطَاوَلَ"|"ط و ل"|"VI"|"1"|"to prolong"|"verlengen"|"uzatmak"|"NL"|"TR"
"نَطْوِى"|"ط و ي"|"نَطْوِى"|"ط و ي"|"I"|"1"|"to fold"|"vouwen"|"katlamak"|"NL"|"TR"
"طَابَ"|"ط ي ب"|"طَابَ"|"ط ي ب"|"I"|"3"|"to seem suitable, to remit, to do well"|"geschikt lijken, kwijtschelden, goed doen"|"uygun görünmek, afetmek, iyi yapmak"|"NL"|"TR"
"يَطِيرُ"|"ط ي ر"|"يَطِيرُ"|"ط ي ر"|"I"|"1"|"to fly"|"vliegen"|"uçmak"|"NL"|"TR"
"ٱطَّيَّرْ"|"ط ي ر"|"ٱطَّيَّرْ"|"ط ي ر"|"V"|"3"|"to ascribe an evil omen"|"om een ​​slecht voorteken toeschrijven"|"Bir kötü alamet atfetmek"|"NL"|"TR"
"أَظْفَرَ"|"ظ ف ر"|"أَظْفَرَ"|"ظ ف ر"|"IV"|"1"|"to give victory"|"naar de overwinning te geven"|"zafer vermek"|"NL"|"TR"
"ظَلَّ"|"ظ ل ل"|"ظَلَّ"|"ظ ل ل"|"I"|"9"|"to continue, to remain"|"blijven, blijven"|"devam etmek, kalmak"|"NL"|"TR"
"ظَلَّلْ"|"ظ ل ل"|"ظَلَّلْ"|"ظ ل ل"|"II"|"2"|"to shade"|"schaduwen"|"gölgelemek"|"NL"|"TR"
"ظَلَمَ"|"ظ ل م"|"ظَلَمَ"|"ظ ل م"|"I"|"110"|"to oppress, to wrong"|"onderdrukken, onrecht aandoen"|"ezmek, haksızlık yapmak"|"NL"|"TR"
"أَظْلَمَ"|"ظ ل م"|"أَظْلَمَ"|"ظ ل م"|"IV"|"1"|"to darken"|"verduisteren"|"karartmak"|"NL"|"TR"
"تَظْمَؤُا۟"|"ظ م ا"|"تَظْمَؤُا۟"|"ظ م ا"|"I"|"1"|"to suffer from thirst"|"lijden hebben van de dorst"|"susuzluktan muzdarip"|"NL"|"TR"
"ظَنَّ"|"ظ ن ن"|"ظَنَّ"|"ظ ن ن"|"I"|"47"|"to think, to assume, to guess"|"denken, aannemen, raden"|"düşünmek, varsaymak, tahmin etmek"|"NL"|"TR"
"ظَهَرَ"|"ظ ه ر"|"ظَهَرَ"|"ظ ه ر"|"I"|"10"|"to appear, to become manifest"|"verschijnen, zichtbaar worden,"|"görünmek, tezahür olmak"|"NL"|"TR"
"ظَٰهَرُ"|"ظ ه ر"|"ظَٰهَرُ"|"ظ ه ر"|"III"|"6"|"to support, to back"|"te ondersteunen, steunen"|"desteklemek, destek olmak"|"NL"|"TR"
"أَظْهَرَ"|"ظ ه ر"|"أَظْهَرَ"|"ظ ه ر"|"IV"|"8"|"to make apparent, to reveal"|"zichtbaar maken, openbaren"|"görünür hale getirmek, ortaya çıkarmak"|"NL"|"TR"
"تَظَٰهَرُ"|"ظ ه ر"|"تَظَٰهَرُ"|"ظ ه ر"|"VI"|"2"|"to support"|"ondersteunen"|"desteklemek"|"NL"|"TR"
"يَعْبَؤُا۟"|"ع ب ا"|"يَعْبَؤُا۟"|"ع ب ا"|"I"|"1"|"to care"|"geven om"|"ilgilenmek"|"NL"|"TR"
"تَعْبَثُ"|"ع ب ث"|"تَعْبَثُ"|"ع ب ث"|"I"|"1"|"to be amused"|"geamuseerd zijn"|"eğlenmek"|"NL"|"TR"
"عَبَدَ"|"ع ب د"|"عَبَدَ"|"ع ب د"|"I"|"122"|"to worship"|"aanbidden"|"ibadet etmek"|"NL"|"TR"
"عَبَّد"|"ع ب د"|"عَبَّد"|"ع ب د"|"II"|"1"|"to enslave"|"tot slaaf maken"|"köleleştirmek"|"NL"|"TR"
"تَعْبُرُ"|"ع ب ر"|"تَعْبُرُ"|"ع ب ر"|"I"|"1"|"to interpret"|"te interpreteren"|"yorumlamak"|"NL"|"TR"
"ٱعْتَبِرُ"|"ع ب ر"|"ٱعْتَبِرُ"|"ع ب ر"|"VIII"|"1"|"to learn a lesson"|"om een ​​les te leren"|"Bir ders almak için"|"NL"|"TR"
"عَبَسَ"|"ع ب س"|"عَبَسَ"|"ع ب س"|"I"|"2"|"to frown"|"te fronsen"|"kaşlarını çatmak "|"NL"|"TR"
"يَسْتَعْتِبُ"|"ع ت ب"|"يَسْتَعْتِبُ"|"ع ت ب"|"X"|"4"|"to ask for favor"|"vragen om gunst"|"iyilik istemek"|"NL"|"TR"
"أَعْتَدَتْ"|"ع ت د"|"أَعْتَدَتْ"|"ع ت د"|"IV"|"14"|"to prepare"|"voorbereiden"|"hazırlamak"|"NL"|"TR"
"ٱعْتِلُ"|"ع ت ل"|"ٱعْتِلُ"|"ع ت ل"|"I"|"1"|"to drag"|"te slepen"|"sürümek"|"NL"|"TR"
"عَتَ"|"ع ت و"|"عَتَ"|"ع ت و"|"I"|"5"|"to be insolent, to exceed, to rebell"|"brutaal te zijn, overschrijden, in opstand komen"|"saygısız olmak, haddini aşmak, ayaklanmak"|"NL"|"TR"
"عُثِرَ"|"ع ث ر"|"عُثِرَ"|"ع ث ر"|"I"|"1"|"to discover"|"ontdekken"|"keşfetmek"|"NL"|"TR"
"أَعْثَرْ"|"ع ث ر"|"أَعْثَرْ"|"ع ث ر"|"IV"|"1"|"to make known"|"bekend maken"|"bilinen yapmak"|"NL"|"TR"
"تَعْثَ"|"ع ث و"|"تَعْثَ"|"ع ث و"|"I"|"5"|"to act wickedly, to commit evil"|"wetteloos handelen, het kwaad begaan"|"kötülükle hareket etmek, kötülük işlemek"|"NL"|"TR"
"عَجِبُ"|"ع ج ب"|"عَجِبُ"|"ع ج ب"|"I"|"8"|"to wonder, to be amazed, to be astonished"|"zich afvragen, verbaasd zijn, verwonderd zijn"|"merak etmek, şaşırmak, hayret etmek"|"NL"|"TR"
"أَعْجَبَ"|"ع ج ب"|"أَعْجَبَ"|"ع ج ب"|"IV"|"11"|"to please, to impress"|"behagen, indruk maken"|"memnun etmek, etkilemek"|"NL"|"TR"
"عَجَزْ"|"ع ج ز"|"عَجَزْ"|"ع ج ز"|"I"|"1"|"to be unable"|"niet in staat"|"mümkün olmamak"|"NL"|"TR"
"يُعْجِزَ"|"ع ج ز"|"يُعْجِزَ"|"ع ج ز"|"IV"|"4"|"to escape"|"ontsnappen"|"kaçmak"|"NL"|"TR"
"عَجِلَ"|"ع ج ل"|"عَجِلَ"|"ع ج ل"|"I"|"5"|"to hasten"|"verhaasten"|"acele etmek"|"NL"|"TR"
"عَجَّلَ"|"ع ج ل"|"عَجَّلَ"|"ع ج ل"|"II"|"5"|"to hasten"|"verhaasten"|"acele ettirmek"|"NL"|"TR"
"أَعْجَلَ"|"ع ج ل"|"أَعْجَلَ"|"ع ج ل"|"IV"|"1"|"to make hasten"|"verhaasten maken"|"acele ettirmek"|"NL"|"TR"
"تَعَجَّلَ"|"ع ج ل"|"تَعَجَّلَ"|"ع ج ل"|"V"|"1"|"to hurry"|"haasten"|"acele yaptırmanın sonucu"|"NL"|"TR"
"ٱسْتَعْجَلَ"|"ع ج ل"|"ٱسْتَعْجَلَ"|"ع ج ل"|"X"|"19"|"to seek to hasten"|"willen haasten"|"acele istemek"|"NL"|"TR"
"عَدَّ"|"ع د د"|"عَدَّ"|"ع د د"|"I"|"7"|"to count"|"tellen"|"saymak"|"NL"|"TR"
"عَدَّدَ"|"ع د د"|"عَدَّدَ"|"ع د د"|"II"|"1"|"to count"|"leren tellen"|"saymayı ögretmek"|"NL"|"TR"
"أَعَدَّ"|"ع د د"|"أَعَدَّ"|"ع د د"|"IV"|"20"|"to prepare"|"voorbereiden"|"hazırlanmak"|"NL"|"TR"
"تَعْتَدُّ"|"ع د د"|"تَعْتَدُّ"|"ع د د"|"VIII"|"1"|"to count"|"tellen"|"saymak"|"NL"|"TR"
"عَدَلَ"|"ع د ل"|"عَدَلَ"|"ع د ل"|"I"|"14"|"to be just"|"rechtwaardig zijn"|"adaletli olmak"|"NL"|"TR"
"يَعْدُ"|"ع د و"|"يَعْدُ"|"ع د و"|"I"|"3"|"to transgress, to pass beyond"|"overtreden, voorbij passeren"|"günah işlemek, ötesine geçmek"|"NL"|"TR"
"عَادَيْ"|"ع د و"|"عَادَيْ"|"ع د و"|"III"|"1"|"to be enemies"|"vijanden zijn"|"düşman olmak"|"NL"|"TR"
"يَتَعَدَّ"|"ع د و"|"يَتَعَدَّ"|"ع د و"|"V"|"3"|"to transgress"|"overtreden"|"günah işlemenin sonucu"|"NL"|"TR"
"ٱعْتَدَىٰ"|"ع د و"|"ٱعْتَدَىٰ"|"ع د و"|"VIII"|"15"|"to transgress"|"overtreden"|"günah işlemek"|"NL"|"TR"
"عَذَّبَ"|"ع ذ ب"|"عَذَّبَ"|"ع ذ ب"|"II"|"41"|"to punish"|"straffen"|"cezalandırmak"|"NL"|"TR"
"يَعْتَذِرُ"|"ع ذ ر"|"يَعْتَذِرُ"|"ع ذ ر"|"VIII"|"5"|"to make excuse"|"om excuus te maken"|"bahane etmek"|"NL"|"TR"
"يَعْرُجُ"|"ع ر ج"|"يَعْرُجُ"|"ع ر ج"|"I"|"5"|"to ascend"|"opstijgen"|"yükselmek"|"NL"|"TR"
"يَعْرِشُ"|"ع ر ش"|"يَعْرِشُ"|"ع ر ش"|"I"|"2"|"to erect, to construct"|"opzetten, construeren"|"dikmek, oluşturmak"|"NL"|"TR"
"عَرَضَ"|"ع ر ض"|"عَرَضَ"|"ع ر ض"|"I"|"11"|"to display, to present, to expose, to turn away"|"laten zien, presenteren, bloot stellen, wegdraaien"|"göstermek, sunmak, maruz bırakmak, geri çevirmek"|"NL"|"TR"
"عَرَّضْ"|"ع ر ض"|"عَرَّضْ"|"ع ر ض"|"II"|"1"|"to hint"|"hint geven"|"ipucu vermek"|"NL"|"TR"
"أَعْرَضَ"|"ع ر ض"|"أَعْرَضَ"|"ع ر ض"|"IV"|"32"|"to turn away"|"zich afwenden"|"geri çevirmek"|"NL"|"TR"
"عَرَفَ"|"ع ر ف"|"عَرَفَ"|"ع ر ف"|"I"|"20"|"to know, to recognize"|"weten, herkennen"|"bilmek, tanımak"|"NL"|"TR"
"عَرَّفَ"|"ع ر ف"|"عَرَّفَ"|"ع ر ف"|"II"|"2"|"to make known"|"bekend maken"|"bilgilendirmek"|"NL"|"TR"
"يَتَعَارَفُ"|"ع ر ف"|"يَتَعَارَفُ"|"ع ر ف"|"VI"|"2"|"to know, to recognize"|"weten, herkennen"|"bilmek, tanımak"|"NL"|"TR"
"ٱعْتَرَفُ"|"ع ر ف"|"ٱعْتَرَفُ"|"ع ر ف"|"VIII"|"3"|"to acknowledge, to confess"|"erkennen, belijden"|"kabul etmek, itiraf etmek"|"NL"|"TR"
"ٱعْتَرَىٰ"|"ع ر و"|"ٱعْتَرَىٰ"|"ع ر و"|"VIII"|"1"|"to seize"|"grijpen"|"ele geçirmek"|"NL"|"TR"
"تَعْرَىٰ"|"ع ر ي"|"تَعْرَىٰ"|"ع ر ي"|"I"|"1"|"to unclothe"|"ontkleden"|"soymak"|"NL"|"TR"
"يَعْزُبُ"|"ع ز ب"|"يَعْزُبُ"|"ع ز ب"|"I"|"2"|"to escape"|"ontsnappen"|"kaçmak"|"NL"|"TR"
"عَزَّرُ"|"ع ز ر"|"عَزَّرُ"|"ع ز ر"|"II"|"3"|"to honour, to assist"|"eren, helpen"|"onurlandırmak, yardımcı olmak"|"NL"|"TR"
"عَزَّ"|"ع ز ز"|"عَزَّ"|"ع ز ز"|"I"|"1"|"to overpower"|"overmeesteren"|"yenmek"|"NL"|"TR"
"عَزَّزْ"|"ع ز ز"|"عَزَّزْ"|"ع ز ز"|"II"|"1"|"to strengthen"|"versterken"|"güçlendirmek"|"NL"|"TR"
"تُعِزُّ"|"ع ز ز"|"تُعِزُّ"|"ع ز ز"|"IV"|"1"|"to honor"|"eren"|"onurlandırmak"|"NL"|"TR"
"عَزَلْ"|"ع ز ل"|"عَزَلْ"|"ع ز ل"|"I"|"1"|"to set aside"|"opzij zetten"|"bir kenara koymak"|"NL"|"TR"
"ٱعْتَزَلَ"|"ع ز ل"|"ٱعْتَزَلَ"|"ع ز ل"|"VIII"|"7"|"to withdraw, to leave, to keep away"|"zich terugtrekken, vertrekken, weghouden"|"çekilme, ayrılmak, uzak tutmak"|"NL"|"TR"
"عَزَمَ"|"ع ز م"|"عَزَمَ"|"ع ز م"|"I"|"4"|"to resolve, to decide, to determine"|"oplossen, beslissen, bepalen"|"çözmek, karar vermek, belirlemek"|"NL"|"TR"
"تَعَاسَرْ"|"ع س ر"|"تَعَاسَرْ"|"ع س ر"|"VI"|"1"|"to disagree"|"oneens zijn"|"katılmamak"|"NL"|"TR"
"عَسْعَسَ"|"ع س ع س"|"عَسْعَسَ"|"ع س ع س"|"I"|"1"|"to depart"|"vertrekken"|"ayrılmak"|"NL"|"TR"
"عَسَى"|"ع س ي"|"عَسَى"|"ع س ي"|"I"|"30"|"to perhaps"|"tot misschien"|"belki"|"NL"|"TR"
"عَاشِرُ"|"ع ش ر"|"عَاشِرُ"|"ع ش ر"|"III"|"1"|"to live"|"leven"|"yaşamak"|"NL"|"TR"
"يَعْشُ"|"ع ش و"|"يَعْشُ"|"ع ش و"|"I"|"1"|"to turn away"|"afwenden"|"geri çevirmek"|"NL"|"TR"
"يَعْصِرُ"|"ع ص ر"|"يَعْصِرُ"|"ع ص ر"|"I"|"2"|"to press"|"drukken"|"basmak"|"NL"|"TR"
"يَعْصِمُ"|"ع ص م"|"يَعْصِمُ"|"ع ص م"|"I"|"3"|"to save, to protect"|"beschermen, beschermen"|"korumak, kurtarmak"|"NL"|"TR"
"ٱعْتَصَمُ"|"ع ص م"|"ٱعْتَصَمُ"|"ع ص م"|"VIII"|"5"|"to hold fast"|"vasthouden"|"sıkıca tutmak"|"NL"|"TR"
"ٱسْتَعْصَمَ"|"ع ص م"|"ٱسْتَعْصَمَ"|"ع ص م"|"X"|"1"|"to save"|"beschermen"|"korumak"|"NL"|"TR"
"عَصَا"|"ع ص ي"|"عَصَا"|"ع ص ي"|"I"|"27"|"to disobey"|"ongehoorzaam zijn"|"uymamak"|"NL"|"TR"
"عَضُّ"|"ع ض ض"|"عَضُّ"|"ع ض ض"|"I"|"2"|"to bite"|"bijten"|"ısırmak"|"NL"|"TR"
"تَعْضُلُ"|"ع ض ل"|"تَعْضُلُ"|"ع ض ل"|"I"|"2"|"to hinder, to constrain"|"hinderen, beperken"|"engellemek, sınırlamak"|"NL"|"TR"
"عُطِّلَتْ"|"ع ط ل"|"عُطِّلَتْ"|"ع ط ل"|"II"|"1"|"to leave untended"|"verlaten"|"başıboş bırakmak"|"NL"|"TR"
"تَعَاطَىٰ"|"ع ط و"|"تَعَاطَىٰ"|"ع ط و"|"I"|"1"|"to take"|"nemen"|"almak"|"NL"|"TR"
"أَعْطَىٰ"|"ع ط و"|"أَعْطَىٰ"|"ع ط و"|"IV"|"8"|"to give"|"geven"|"vermek"|"NL"|"TR"
"يُعَظِّمْ"|"ع ظ م"|"يُعَظِّمْ"|"ع ظ م"|"II"|"2"|"to honor"|"eren"|"onurlandırmak"|"NL"|"TR"
"يُعْظِمْ"|"ع ظ م"|"يُعْظِمْ"|"ع ظ م"|"IV"|"1"|"to make great"|"groot maken"|"büyük yapmak"|"NL"|"TR"
"يَسْتَعْفِفْ"|"ع ف ف"|"يَسْتَعْفِفْ"|"ع ف ف"|"X"|"3"|"to refrain, to be chaste"|"zich onthouden, kuis zijn"|"kaçınmak, sade olmak"|"NL"|"TR"
"عَفَا"|"ع ف و"|"عَفَا"|"ع ف و"|"I"|"27"|"to forgive, to pardon"|"vergeven, vergeven"|"affetmek, affetmek"|"NL"|"TR"
"يُعَقِّبْ"|"ع ق ب"|"يُعَقِّبْ"|"ع ق ب"|"II"|"2"|"to look back, to return"|"terugkijken, terugkeren"|"geriye bakmak, geriye dönmek"|"NL"|"TR"
"عَاقَبَ"|"ع ق ب"|"عَاقَبَ"|"ع ق ب"|"III"|"6"|"to retaliate"|"wraak nemen"|"misillemek"|"NL"|"TR"
"أَعْقَبَ"|"ع ق ب"|"أَعْقَبَ"|"ع ق ب"|"IV"|"1"|"to penalize"|"bestraffen"|"cezalandırmak"|"NL"|"TR"
"عَقَدَتْ"|"ع ق د"|"عَقَدَتْ"|"ع ق د"|"I"|"1"|"to pledge"|"beloven"|"vâât etmek"|"NL"|"TR"
"عَقَّد"|"ع ق د"|"عَقَّد"|"ع ق د"|"II"|"1"|"to contract"|"contracteren"|"sözleşmek"|"NL"|"TR"
"عَقَرَ"|"ع ق ر"|"عَقَرَ"|"ع ق ر"|"I"|"5"|"to hamstrung"|"verminken"|"sakatlamak"|"NL"|"TR"
"عَقَلُ"|"ع ق ل"|"عَقَلُ"|"ع ق ل"|"I"|"49"|"to understand, to reason"|"begrijpen, redeneren"|"anlamak, muhakeme etmek"|"NL"|"TR"
"يَعْكُفُ"|"ع ك ف"|"يَعْكُفُ"|"ع ك ف"|"I"|"1"|"to devote"|"wijden"|"adamak"|"NL"|"TR"
"عَلِمَ"|"ع ل م"|"عَلِمَ"|"ع ل م"|"I"|"382"|"to know"|"weten"|"bilmek"|"NL"|"TR"
"عَلَّمَ"|"ع ل م"|"عَلَّمَ"|"ع ل م"|"II"|"41"|"to teach"|"leren"|"öğretmek"|"NL"|"TR"
"يَتَعَلَّمُ"|"ع ل م"|"يَتَعَلَّمُ"|"ع ل م"|"V"|"2"|"to learn"|"leren"|"öğrenmek"|"NL"|"TR"
"أَعْلَن"|"ع ل ن"|"أَعْلَن"|"ع ل ن"|"IV"|"12"|"to declare, to reveal, to proclaim"|"verklaren, openbaren, verkondigen"|"beyan etmek, ortaya çıkarmak, ilan etmek"|"NL"|"TR"
"تَعَٰلَىٰ"|"ع ل و"|"تَعَٰلَىٰ"|"ع ل و"|"I"|"20"|"to be exalted, to be high"|"worden verheven, hoog zijn"|"yüce edilecek, yüksek olmak"|"NL"|"TR"
"تَعَالَ"|"ع ل و"|"تَعَالَ"|"ع ل و"|"IV"|"8"|"to come"|"komen"|"gelmek"|"NL"|"TR"
"ٱسْتَعْلَىٰ"|"ع ل و"|"ٱسْتَعْلَىٰ"|"ع ل و"|"X"|"1"|"to overcome"|"overwinnen"|"üstesinden gelmek"|"NL"|"TR"
"تَعَمَّدَتْ"|"ع م د"|"تَعَمَّدَتْ"|"ع م د"|"V"|"1"|"to intend"|"van plan zijn"|"niyetinde olmak"|"NL"|"TR"
"عَمَرُ"|"ع م ر"|"عَمَرُ"|"ع م ر"|"I"|"4"|"to maintain, to build on"|"onderhouden, bouwen op"|"korumak, üzerine inşa etmek"|"NL"|"TR"
"يُعَمَّرُ"|"ع م ر"|"يُعَمَّرُ"|"ع م ر"|"II"|"5"|"to grant life"|"leven schenken"|"hayat vermek"|"NL"|"TR"
"ٱعْتَمَرَ"|"ع م ر"|"ٱعْتَمَرَ"|"ع م ر"|"VIII"|"1"|"to perform Umrah"|"Umrah realizeren"|"Umre gerçekleştirmek"|"NL"|"TR"
"ٱسْتَعْمَرَ"|"ع م ر"|"ٱسْتَعْمَرَ"|"ع م ر"|"X"|"1"|"to settle"|"zich vestigen"|"yerleşmek"|"NL"|"TR"
"عَمِلَ"|"ع م ل"|"عَمِلَ"|"ع م ل"|"I"|"276"|"to do, to work"|"doen, werken"|"yapmak, çalışmak"|"NL"|"TR"
"يَعْمَهُ"|"ع م ه"|"يَعْمَهُ"|"ع م ه"|"I"|"7"|"to wander blindly"|"blindelings dwalen"|"körü körüne dolaşmak"|"NL"|"TR"
"عَمِىَ"|"ع م ي"|"عَمِىَ"|"ع م ي"|"I"|"7"|"to be blind"|"blind zijn"|"Kör olmak"|"NL"|"TR"
"عُمِّيَتْ"|"ع م ي"|"عُمِّيَتْ"|"ع م ي"|"II"|"1"|"to obscure"|"verduisteren"|"gizlemek"|"NL"|"TR"
"عَنِ"|"ع ن ت"|"عَنِ"|"ع ن ت"|"I"|"3"|"to suffer, to be distressed"|"lijden, bedroefd zijn"|"acı çekmek , sıkıntılı olmak"|"NL"|"TR"
"أَعْنَتَ"|"ع ن ت"|"أَعْنَتَ"|"ع ن ت"|"IV"|"1"|"to put into difficulty"|"in de problemen brengen"|"zorluk içine koymak"|"NL"|"TR"
"عَنَتِ"|"ع ن و"|"عَنَتِ"|"ع ن و"|"I"|"1"|"to be humbled"|"vernederd zijn"|"boyunları bükük olmak"|"NL"|"TR"
"عَهِدَ"|"ع ه د"|"عَهِدَ"|"ع ه د"|"I"|"6"|"to make a covenant, to promise"|"een verbond maken, beloven"|"bir antlaşma yapmak, söz vermek"|"NL"|"TR"
"عَٰهَدَ"|"ع ه د"|"عَٰهَدَ"|"ع ه د"|"III"|"11"|"to make a covenant"|"een verbond te maken"|"Bir antlaşma yapmak"|"NL"|"TR"
"عَادَ"|"ع و د"|"عَادَ"|"ع و د"|"I"|"18"|"to return"|"terugkeren"|"geri dönmek"|"NL"|"TR"
"أُعِيدُ"|"ع و د"|"أُعِيدُ"|"ع و د"|"IV"|"18"|"to return"|"terugbrengen"|"geri döndermek"|"NL"|"TR"
"عُذْ"|"ع و ذ"|"عُذْ"|"ع و ذ"|"I"|"10"|"to seek refuge"|"toevlucht zoeken"|"sığınmak"|"NL"|"TR"
"أُعِيذُ"|"ع و ذ"|"أُعِيذُ"|"ع و ذ"|"IV"|"1"|"to seek refuge"|"toevlucht zoeken"|"sığınmak"|"NL"|"TR"
"ٱسْتَعِذْ"|"ع و ذ"|"ٱسْتَعِذْ"|"ع و ذ"|"X"|"4"|"to seek refuge"|"toevlucht zoeken"|"sığınmak"|"NL"|"TR"
"تَعُولُ"|"ع و ل"|"تَعُولُ"|"ع و ل"|"I"|"1"|"to oppress"|"onderdrukken"|"ezmek"|"NL"|"TR"
"أَعَانَ"|"ع و ن"|"أَعَانَ"|"ع و ن"|"IV"|"2"|"to help"|"helpen"|"yardım etmek"|"NL"|"TR"
"تَعَاوَنُ"|"ع و ن"|"تَعَاوَنُ"|"ع و ن"|"VI"|"2"|"to help"|"helpen"|"yardımlaşmak"|"NL"|"TR"
"ٱسْتَعِينُ"|"ع و ن"|"ٱسْتَعِينُ"|"ع و ن"|"X"|"4"|"to seek help"|"hulp zoeken"|"yardım istemek"|"NL"|"TR"
"أَعِيبَ"|"ع ي ب"|"أَعِيبَ"|"ع ي ب"|"I"|"1"|"to cause defect"|"defect veroorzaken"|"kusura/bozulmaya neden olmak"|"NL"|"TR"
"عَيِي"|"ع ي ي"|"عَيِي"|"ع ي ي"|"I"|"2"|"to tire"|"moe worden"|"yorulmak"|"NL"|"TR"
"يُغَادِرُ"|"غ د ر"|"يُغَادِرُ"|"غ د ر"|"III"|"2"|"to leave behind"|"achter te laten"|"geride bırakmak"|"NL"|"TR"
"غَدَ"|"غ د و"|"غَدَ"|"غ د و"|"I"|"3"|"to leave early"|"vroeg te vertrekken"|"erken terk etmek"|"NL"|"TR"
"غَرَبَت"|"غ ر ب"|"غَرَبَت"|"غ ر ب"|"I"|"2"|"to set"|"instellen"|"ayarlamak"|"NL"|"TR"
"غَرَّ"|"غ ر ر"|"غَرَّ"|"غ ر ر"|"I"|"15"|"to deceive, to delude"|"bedriegen, misleiden"|"aldatmak, aldatmak"|"NL"|"TR"
"ٱغْتَرَفَ"|"غ ر ف"|"ٱغْتَرَفَ"|"غ ر ف"|"VIII"|"1"|"to take"|"nemen"|"almak"|"NL"|"TR"
"أُغْرِقُ"|"غ ر ق"|"أُغْرِقُ"|"غ ر ق"|"IV"|"17"|"to drown"|"verdrinken"|"boğulmak"|"NL"|"TR"
"أَغْرَيْ"|"غ ر و"|"أَغْرَيْ"|"غ ر و"|"IV"|"2"|"to overpower, to arouse"|"overmeesteren, wekken"|"yenmek, uyandırmak"|"NL"|"TR"
"ٱغْسِلُ"|"غ س ل"|"ٱغْسِلُ"|"غ س ل"|"I"|"1"|"to wash"|"wassen"|"yıkamak"|"NL"|"TR"
"تَغْتَسِلُ"|"غ س ل"|"تَغْتَسِلُ"|"غ س ل"|"VIII"|"1"|"to bathe"|"baden"|"yıkanmak"|"NL"|"TR"
"غَشِيَ"|"غ ش و"|"غَشِيَ"|"غ ش و"|"I"|"13"|"to cover"|"bedekken"|"kaplamak örtmek"|"NL"|"TR"
"غَشَّىٰ"|"غ ش و"|"غَشَّىٰ"|"غ ش و"|"II"|"3"|"to cover"|"bedekken"|"kaplamak örtmek"|"NL"|"TR"
